Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.527,0.777,214058,0.522,0.838,8,0.0968,-12.496,0,0.0535,115.008,4,0.182,0,OverHeated,Billie Eilish
0.928,0.275,206622,0.155,0.176,7,0.0888,-17.285,0,0.0674,65.136,3,0.0588,0,Everybody Dies,Billie Eilish
0.932,0.632,245896,0.284,0.000476,9,0.233,-14.025,0,0.0801,129.642,4,0.208,0,Your Power,Billie Eilish
0.341,0.765,195776,0.373,0.525,8,0.112,-9.921,1,0.0713,85.016,4,0.554,0,NDA,Billie Eilish
0.227,0.879,173539,0.365,0.135,2,0.0583,-7.781,1,0.0924,94.016,4,0.663,0,Therefore I Am,Billie Eilish
0.896,0.614,180933,0.318,0.00239,7,0.0795,-12.695,1,0.0478,119.959,4,0.112,0,Bored,Billie Eilish
0.213,0.749,164051,0.832,0.276,5,0.728,-8.415,0,0.0408,120.046,4,0.487,0,ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry,Billie Eilish
0.721,0.343,203464,0.243,0.00198,4,0.0668,-14.66,0,0.0777,135.154,4,0.032,0,Lo Vas A Olvidar (with ROSALÍA),"Billie Eilish,ROSALÍA"
0.218,0.889,174321,0.34,0.13,11,0.055,-7.773,0,0.0697,94.009,4,0.716,0,Therefore I Am,Billie Eilish
0.795,0.444,208155,0.309,0.132,8,0.352,-10.956,1,0.062,104.745,4,0.0875,0,my future,Billie Eilish
0.902,0.704,245425,0.225,0.657,6,0.106,-14.454,0,0.0994,120.006,4,0.243,0,everything i wanted,Billie Eilish
0.283,0.726,168839,0.444,0.143,8,0.177,-8.922,0,0.372,185.044,4,0.569,0,all the good girls go to hell,Billie Eilish
0.328,0.701,194087,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562,0,bad guy,Billie Eilish
0.333,0.441,177523,0.599,0.00198,0,0.103,-8.985,1,0.225,165.212,4,0.35,0,watch,Billie Eilish
0.737,0.483,203569,0.412,0.0,7,0.116,-8.461,1,0.0402,170.163,3,0.247,0,idontwannabeyouanymore,Billie Eilish
0.46,0.695,179172,0.573,0.0734,4,0.482,-8.597,0,0.106,99.939,4,0.408,0,bellyache,Billie Eilish
0.978,0.367,196077,0.111,3.97e-05,4,0.0897,-14.084,1,0.0972,82.642,4,0.198,0,when the party's over,Billie Eilish
0.462,0.678,180952,0.533,0.219,4,0.139,-10.485,1,0.186,150.455,4,0.323,0,you should see me in a crown,Billie Eilish
0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196,0,bury a friend,Billie Eilish
0.39,0.853,221543,0.351,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,0.282,0,wish you were gay,Billie Eilish
0.724,0.855,156370,0.423,0.469,5,0.0896,-15.044,0,0.0585,120.02,4,0.572,0,ilomilo,Billie Eilish
0.768,0.0,13578,0.278,0.0,1,0.669,-21.63,1,0.0,0.0,0,0.0,0,!!!!!!!,Billie Eilish
0.35,0.939,179889,0.305,0.000169,8,0.105,-10.952,0,0.354,100.029,4,0.563,0,my strange addiction,Billie Eilish
0.934,0.351,200185,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12,0,lovely (with Khalid),"Billie Eilish,Khalid"
0.698,0.735,173201,0.235,0.00604,3,0.107,-13.239,1,0.315,62.446,4,0.462,0,8,Billie Eilish
0.816,0.511,200379,0.363,0.0317,4,0.084,-7.65,0,0.041,144.892,4,0.169,0,ocean eyes,Billie Eilish
0.472,0.692,170852,0.394,0.000191,11,0.117,-8.745,0,0.207,89.936,4,0.324,0,my boy,Billie Eilish
0.252,0.67,194839,0.453,0.33,0,0.117,-11.265,1,0.295,135.055,4,0.68,0,bad guy (with Justin Bieber),"Billie Eilish,Justin Bieber"
0.693,0.64,210375,0.321,0.0307,0,0.114,-14.604,1,0.0931,145.045,4,0.177,0,come out and play,Billie Eilish
0.921,0.778,176471,0.422,0.00924,0,0.0958,-10.114,1,0.0482,120.033,4,0.187,0,bitches broken hearts,Billie Eilish
0.837,0.153,119409,0.138,0.55,6,0.254,-21.877,0,0.0503,74.318,3,0.0503,0,goodbye,Billie Eilish
0.751,0.521,243725,0.125,0.00207,9,0.265,-17.832,1,0.239,111.554,4,0.0528,0,xanny,Billie Eilish
0.952,0.421,291796,0.131,0.00453,0,0.109,-18.435,1,0.0382,137.446,4,0.12,0,i love you,Billie Eilish
0.935,0.319,242652,0.0561,0.00384,0,0.388,-23.023,1,0.045,79.764,3,0.082,0,listen before i go,Billie Eilish
0.353,0.679,194711,0.388,9.25e-05,4,0.341,-10.977,0,0.0932,124.909,4,0.234,0,COPYCAT,Billie Eilish
0.868,0.427,229425,0.123,3.12e-05,9,0.0732,-15.228,0,0.0497,129.565,5,0.0394,0,hostage,Billie Eilish
